uid,year,year_disp,new_disp,massjun,sire_pres,dam_pres,dam_rs,age,colony,col_disp,valley,litter_effect,year_uid,disp_yn
5765_5799,2007,2007,1,1446.859168,1,1,wean,1,bench,bench,dv,4026_4050.2006,2007_5765_5799,1
576_816,1968,1968,1,1401.261107,0,0,no_wean,1,river,river,dv,6_12.1967,1968_576_816,1
5781_5953,2007,2007,1,1982.557636,1,1,wean,1,horsemound,horsemound,dv,4121_4597.2006,2007_5781_5953,1
5786_5713,2007,2007,1,2522.257956,1,1,wean,1,horsemound,horsemound,dv,4121_4597.2006,2007_5786_5713,1
578_579,1991,1991,0,885.1500806,0,0,no_wean,1,picnic,picnic,uv,NA,1991_578_579,0
5790_5789,2007,2007,0,2170.316311,1,1,wean,1,bench,bench,dv,4715_4716.2006,2007_5790_5789,0
5792_5787,2007,2007,1,1536.864969,0,0,no_wean,1,river,river,dv,2603_2606.2006,2007_5792_5787,1
5795_5780,2007,2007,1,1723.665464,0,1,wean,1,picnic,picnic,uv,19_46.2006,2007_5795_5780,1
580_590,1991,1991,1,1520.981834,0,1,wean,1,gothictown,gothictown,dv,115_289.1990,1991_580_590,1
5814_5248,2008,2008,1,1095.663426,1,1,wean,1,mm,mm,uv,4750_4301.2007,2008_5814_5248,1
5821_5812,2008,2008,1,1106.281073,1,1,wean,1,mm,mm,uv,4750_4301.2007,2008_5821_5812,1
5831_5836,2008,2008,0,NA,1,1,wean,1,mm,mm,uv,2688_2691.2007,2008_5831_5836,0
5834_5574,2009,2009,0,NA,1,1,no_wean,1,river,river,dv,278_279b.2008,2009_5834_5574,0
5843_5019,2008,2008,0,784.7430242,1,1,no_wean,1,picnic,picnic,uv,3166_3174.2007,2008_5843_5019,0
5853_5779,2007,2007,0,1683.693904,1,1,wean,1,bench,bench,dv,4711_4706.2006,2007_5853_5779,0
585_595,1991,1991,1,1596.827072,0,1,wean,1,gothictown,gothictown,dv,115_289.1990,1991_585_595,1
5883_5923,2006,2006,1,1184.806208,1,1,wean,1,river,river,dv,4012_4060.2005,2006_5883_5923,1
5887_5857,2006,2006,1,NA,1,0,no_wean,1,picnic,picnic,uv,NA,2006_5887_5857,1
5893_4277,2006,2006,1,NA,1,1,no_wean,1,river,river,dv,2640_2627.2005,2006_5893_4277,1
5897_5919,2006,2006,0,1121.083147,1,1,wean,1,picnic,picnic,uv,2805_2809.2005,2006_5897_5919,0
5901_5913,2006,2006,1,1700.762049,0,1,wean,1,mm,mm,uv,4117_4113.2005,2006_5901_5913,1
5907_4276,2006,2006,1,1234.883523,1,1,wean,1,picnic,picnic,uv,2693_2700.2005,2006_5907_4276,1
5908_5922,2006,2006,0,1338.807016,1,1,wean,1,picnic,picnic,uv,2686_2690.2005,2006_5908_5922,0
5909_5902,2006,2006,1,1326.759957,1,1,wean,1,picnic,picnic,uv,2686_2690.2005,2006_5909_5902,1
5911_5954,2006,2006,1,1637.132809,1,1,wean,1,picnic,picnic,uv,2686_2690.2005,2006_5911_5954,1
5914_4427,2007,2007,1,2505.431576,1,1,wean,1,horsemound,horsemound,dv,4121_4597.2006,2007_5914_4427,1
5917_5960,2006,2006,0,1274.167831,1,1,wean,1,picnic,picnic,uv,check02_.2005,2006_5917_5960,0
5940_5979,2007,2007,1,NA,1,1,wean,1,river,river,dv,4600_4985.2006,2007_5940_5979,1
5942_5994,2007,2007,0,1936.016026,1,1,no_wean,1,river,river,dv,4012_4060.2006,2007_5942_5994,0
5955_5904,2006,2006,0,1364.59646,1,1,wean,1,picnic,picnic,uv,2686_2690.2005,2006_5955_5904,0
5956_5961,2006,2006,1,1544.868908,1,1,wean,1,picnic,picnic,uv,3120_2683.2005,2006_5956_5961,1
595_588,1968,1968,1,878.1772451,0,1,wean,1,picnic,picnic,uv,461_462a.1967,1968_595_588,1
5965_5957,2006,2006,0,1521.632061,0,1,wean,1,mm,mm,uv,4117_4113.2005,2006_5965_5957,0
596_597,1981,1981,0,NA,0,1,no_wean,1,gothictown,gothictown,dv,350_391.1980,1981_596_597,0
596_598,1991,1991,1,642.5953355,0,1,wean,1,picnic,picnic,uv,761_773.1990,1991_596_598,1
596_813,1968,1968,0,1185.596562,0,0,no_wean,1,river,river,dv,6_12.1967,1968_596_813,0
5970_5921,2006,2006,1,NA,1,1,wean,1,picnic,picnic,uv,2693_2700.2005,2006_5970_5921,1
5980_5769,2007,2007,1,1661.653141,1,1,wean,1,river,river,dv,4600_4985.2006,2007_5980_5769,1
5_22,1963,1963,0,NA,0,1,wean,1,river,river,dv,123_125.1962,1963_5_22,0
6000_5725,2007,2007,0,1594.722173,0,1,wean,1,river,river,dv,4600_4985.2006,2007_6000_5725,0
6002_6016,2008,2008,1,827.7666082,1,1,wean,1,mm,mm,uv,4750_4301.2007,2008_6002_6016,1
6008_6005,2008,2008,0,802.6835463,1,1,wean,1,mm,mm,uv,2688_2691.2007,2008_6008_6005,0
6011_5490,2008,2008,0,NA,0,1,no_wean,1,picnic,picnic,uv,3120_2683.2007,2008_6011_5490,0
601_626,1990,1990,0,1215.333979,0,1,wean,1,picnic,picnic,uv,86_119.1989,1990_601_626,0
6022_5460,2009,2009,1,1761.525242,1,1,wean,1,horsemound,horsemound,dv,4964_4968.2008,2009_6022_5460,1
6034_6035,2009,2009,0,1771.922485,1,1,wean,1,gothictown,gothictown,dv,4395_4393.2008,2009_6034_6035,0
6038_6039,2009,2009,1,NA,1,1,wean,1,river,river,dv,4837_4831.2008,2009_6038_6039,1
603_604b,1990,1990,1,1233.726013,0,1,no_wean,1,picnic,picnic,uv,326_350.1989,1990_603_604b,1
603_624,1964,1964,0,NA,0,0,no_wean,1,gothictown,gothictown,dv,NA,1964_603_624,0
6040_6195,2010,2010,0,2222.917069,1,1,wean,1,bench,bench,dv,4715_4716.2009,2010_6040_6195,0
6049_6043,2009,2009,1,NA,1,1,wean,1,river,river,dv,4657_4995.2008,2009_6049_6043,1
6051_6054,2009,2009,1,NA,0,0,no_wean,1,picnic,picnic,uv,4052_4051.2008,2009_6051_6054,1
6052_6973,2010,2010,0,2046.793098,1,1,no_wean,1,gothictown,gothictown,dv,4395_4393.2009,2010_6052_6973,0
6062_6075,2009,2009,0,NA,1,1,wean,1,river,river,dv,4830_4029.2008,2009_6062_6075,0
6067_6027,2009,2009,1,1546.172869,1,1,wean,1,river,river,dv,4657_4995.2008,2009_6067_6027,1
6070_6029,2009,2009,0,1545.177854,1,1,wean,1,river,river,dv,4830_4029.2008,2009_6070_6029,0
6080_6085,2009,2009,0,NA,1,1,no_wean,1,river,river,dv,278_279b.2008,2009_6080_6085,0
6081_6279,2010,2010,0,1862.919303,1,1,wean,1,gothictown,gothictown,dv,4237_4329.2009,2010_6081_6279,0
6089_7015,2013,2013,1,1881.681026,1,1,wean,1,river,river,dv,4837_4831.2012,2013_6089_7015,1
609_2280,1997,1997,0,NA,0,0,no_wean,1,river,river,dv,NA,1997_609_2280,0
60_61,1963,1963,0,NA,0,1,no_wean,1,picnic,picnic,uv,67_75.1962,1963_60_61,0
6101_6103,2009,2009,0,1260.520451,1,0,no_wean,1,mm,mm,uv,2688_2691.2008,2009_6101_6103,0
6104_6133,2010,2010,1,2376.160214,1,1,wean,1,gothictown,gothictown,dv,4509_4521.2009,2010_6104_6133,1
6105_6113,2009,2009,1,NA,1,0,no_wean,1,mm,mm,uv,4750_4301.2008,2009_6105_6113,1
6108_6118,2009,2009,1,NA,1,1,wean,1,mm,mm,uv,5587_5298.2008,2009_6108_6118,1
6112_6903,2010,2010,0,1650.917655,1,1,no_wean,1,river,river,dv,272_273.2009,2010_6112_6903,0
611_619,1964,1964,0,NA,0,0,no_wean,1,bench,bench,dv,NA,1964_611_619,0
6120_6102,2010,2010,1,2122.790961,1,1,wean,1,gothictown,gothictown,dv,4237_4329.2009,2010_6120_6102,1
6125_6193,2010,2010,1,1818.186205,1,1,wean,1,gothictown,gothictown,dv,4509_4521.2009,2010_6125_6193,1
6127_7339,2013,2013,0,1367.737285,1,1,wean,1,picnic,picnic,uv,4508_4512.2012,2013_6127_7339,0
6128_6945,2010,2010,1,1950.205313,0,1,no_wean,1,river,river,dv,4575_5174.2009,2010_6128_6945,1
612_2284,1997,1997,1,1440.141944,0,1,wean,1,bench,bench,dv,1382_1397.1996,1997_612_2284,1
6132_6938,2010,2010,1,NA,1,0,no_wean,1,river,river,dv,4012_4060.2009,2010_6132_6938,1
613_616,1981,1981,1,1181.694033,0,0,no_wean,1,mm,mm,uv,NA,1981_613_616,1
613_619,1997,1997,1,1329.583571,0,0,no_wean,1,river,river,dv,NA,1997_613_619,1
6142_6178,2010,2010,0,1393.321218,1,1,no_wean,1,gothictown,gothictown,dv,4395_4393.2009,2010_6142_6178,0
6144_6184,2010,2010,1,2154.253403,1,1,wean,1,bench,bench,dv,4026_4050.2009,2010_6144_6184,1
6145_6149,2009,2009,1,1043.733482,0,0,no_wean,1,picnic,picnic,uv,4052_4051.2008,2009_6145_6149,1
614_615,1981,1981,1,1282.286074,0,1,no_wean,1,picnic,picnic,uv,167_168.1980,1981_614_615,1
6158_6970,2010,2010,0,1592.704889,0,1,no_wean,1,horsemound,horsemound,dv,4964_4968.2009,2010_6158_6970,0
615_616,1997,1997,1,1631.760408,0,0,no_wean,1,river,river,dv,NA,1997_615_616,1
6173_6241,2010,2010,1,1412.267516,0,0,no_wean,1,gothictown,gothictown,dv,NA,2010_6173_6241,1
617_613,1964,1964,0,NA,0,0,no_wean,1,picnic,picnic,uv,NA,1964_617_613,0
6185_6126,2010,2010,0,1779.217878,0,1,no_wean,1,river,river,dv,4575_5174.2009,2010_6185_6126,0
6192_6179,2010,2010,1,2081.858646,1,1,no_wean,1,gothictown,gothictown,dv,4395_4393.2009,2010_6192_6179,1
6194_6182,2010,2010,1,2287.142512,1,1,no_wean,1,gothictown,gothictown,dv,4225_4216.2009,2010_6194_6182,1
6196_6251,2010,2010,0,1640.595568,1,1,wean,1,bench,bench,dv,4026_4050.2009,2010_6196_6251,0
6200_6180,2010,2010,1,NA,1,1,wean,1,gothictown,gothictown,dv,4237_4329.2009,2010_6200_6180,1
6218_6213,2018,2018,0,1959.314298,0,0,no_wean,1,gothictown,gothictown,dv,7880_7885.2017,2018_6218_6213,0
621_691,1991,1991,1,1314.367301,0,1,wean,1,mm,mm,uv,103_430.1990,1991_621_691,1
6232_6234,2009,2009,0,1752.977892,1,1,wean,1,river,river,dv,4657_4995.2008,2009_6232_6234,0
6255_6257,2009,2009,1,NA,1,1,wean,1,river,bench,dv,4932_4945.2008,2009_6255_6257,1
6259_6047,2009,2009,0,1347.84621,1,1,no_wean,1,river,river,dv,278_279b.2008,2009_6259_6047,0
625_695,1991,1991,1,1430.749231,0,1,wean,1,gothictown,gothictown,dv,115_289.1990,1991_625_695,1
6260_6094,2009,2009,1,NA,1,0,no_wean,1,mm,mm,uv,2688_2691.2008,2009_6260_6094,1
6276_6904,2010,2010,0,1762.224838,1,1,wean,1,river,river,dv,4891_4836.2009,2010_6276_6904,0
627_637,1964,1964,0,NA,0,0,no_wean,1,picnic,picnic,uv,NA,1964_627_637,0
6290_6845,2010,2010,1,1074.595689,1,1,wean,1,gothictown,gothictown,dv,4065_4006.2009,2010_6290_6845,1
6304_7998,2013,2013,1,NA,0,1,no_wean,1,avalanche,avalanche,dv,7034_7045.2012,2013_6304_7998,1
6309_7172,2012,2012,0,1672.54999,0,0,no_wean,1,gothictown,gothictown,dv,NA,2012_6309_7172,0
6345_6350,2011,2011,0,758.8441804,1,1,no_wean,1,picnic,picnic,uv,5501_5503.2010,2011_6345_6350,0
6374_6339,2011,2011,1,NA,1,1,no_wean,1,picnic,picnic,uv,5897_5919.2010,2011_6374_6339,1
637_648,1990,1990,1,1329.206602,0,1,wean,1,mm,mm,uv,103_430.1989,1990_637_648,1
6385_6342,2011,2011,0,893.7772109,0,1,wean,1,mm,mm,uv,5285_5088.2010,2011_6385_6342,0
6396_6400,2011,2011,0,1085.090782,1,0,no_wean,1,mm,mm,uv,5271_4233.2010,2011_6396_6400,0
6439_6329,2011,2011,0,1196.149195,1,1,wean,1,river,river,dv,4830_4029.2010,2011_6439_6329,0
643_647,1990,1990,1,1264.426165,0,1,wean,1,picnic,picnic,uv,86_119.1989,1990_643_647,1
6442_6848,2010,2010,1,NA,1,1,wean,1,picnic,picnic,uv,5739_5733.2009,2010_6442_6848,1
644_646,1990,1990,1,1396.140903,0,1,wean,1,picnic,picnic,uv,86_119.1989,1990_644_646,1
645_845,1968,1968,1,1221.527547,0,0,no_wean,1,picnic,picnic,uv,81_83.1967,1968_645_845,1
6462_6459,2010,2010,1,1667.774384,0,0,no_wean,1,gothictown,gothictown,dv,NA,2010_6462_6459,1
646_154,1964,1964,0,NA,0,1,no_wean,1,mm,mm,uv,81_83.1963,1964_646_154,0
646_638,1982,1982,1,947.2300367,0,1,no_wean,1,picnic,picnic,uv,174_175.1981,1982_646_638,1
6483_6785,2010,2010,1,1498.928372,1,1,wean,1,picnic,picnic,uv,4508_4512.2009,2010_6483_6785,1
6488_6497,2010,2010,0,831.001156,1,1,no_wean,1,picnic,picnic,uv,4901_5896.2009,2010_6488_6497,0
6489_6495,2010,2010,0,936.6240183,0,0,no_wean,1,picnic,picnic,uv,NA,2010_6489_6495,0
6504_6376,2011,2011,1,1043.898783,0,1,wean,1,mm,mm,uv,5285_5088.2010,2011_6504_6376,1
6520_6521,2011,2011,0,983.4970674,1,1,no_wean,1,mm,mm,uv,5263_5249.2010,2011_6520_6521,0
6523_6506,2011,2011,1,NA,1,0,no_wean,1,mm,mm,uv,5271_4233.2010,2011_6523_6506,1
6532_6580,2013,2013,0,1666.922565,0,1,wean,1,avalanche,avalanche,dv,7029_7043.2012,2013_6532_6580,0
655_656b,1991,1991,0,1372.532908,0,1,no_wean,1,river,river,dv,959_963.1990,1991_655_656b,0
6560_7061,2013,2013,0,1633.296999,0,0,no_wean,1,mm,mm,uv,NA,2013_6560_7061,0
6577_6587,2011,2011,0,943.6760322,1,1,no_wean,1,mm,mm,uv,5263_5249.2010,2011_6577_6587,0
6581_6585,2011,2011,0,1014.657938,0,0,no_wean,1,mm,mm,uv,NA,2011_6581_6585,0
6592_6579,2011,2011,0,1134.905773,1,0,no_wean,1,mm,mm,uv,5271_4233.2010,2011_6592_6579,0
659_669,1990,1990,1,1333.274874,0,1,no_wean,1,picnic,picnic,uv,326_350.1989,1990_659_669,1
6607_6610,2013,2013,0,1660.961481,0,0,no_wean,1,gothictown,gothictown,dv,NA,2013_6607_6610,0
660_666,1991,1991,0,1324.452092,0,1,wean,1,mm,mm,uv,103_430.1990,1991_660_666,0
6617_7585,2016,2016,1,NA,1,1,wean,1,gothictown,gothictown,dv,7187_7189.2015,2016_6617_7585,1
661_662a,1982,1982,1,825.0385324,0,1,no_wean,1,picnic,picnic,uv,174_175.1981,1982_661_662a,1
661_662b,1991,1991,0,1597.29874,0,1,no_wean,1,river,river,dv,959_963.1990,1991_661_662b,0
6637_8516,2019,2019,1,NA,0,1,no_wean,1,mm,mm,uv,6385_6342.2018,2019_6637_8516,1
6641_7397,2016,2016,1,1272.521297,0,1,no_wean,1,gothictown,river,dv,7011_7909.2015,2016_6641_7397,1
6643_6605,2014,2014,0,1073.621263,1,1,wean,1,picnic,picnic,uv,6345_6350.2013,2014_6643_6605,0
6644_6626,2014,2014,1,1596.88809,1,1,wean,1,picnic,picnic,uv,6779_6729.2013,2014_6644_6626,1
6647_6634,2014,2014,0,976.4605482,1,1,wean,1,picnic,picnic,uv,6779_6729.2013,2014_6647_6634,0
666_662,1965,1965,1,1347.762173,0,1,no_wean,1,picnic,picnic,uv,643_639.1964,1965_666_662,1
6671_7436,2015,2015,1,1767.136624,0,1,no_wean,1,gothictown,gothictown,dv,6309_7172.2014,2015_6671_7436,1
6679_6686,2014,2014,1,1015.918838,1,1,wean,1,picnic,picnic,uv,6750_6798.2013,2014_6679_6686,1
6682_6684,2013,2013,1,1940.792182,1,0,no_wean,1,gothictown,gothictown,dv,4065_4006.2012,2013_6682_6684,1
6683_6584,2014,2014,0,1101.753816,1,1,wean,1,picnic,picnic,uv,6345_6350.2013,2014_6683_6584,0
6687_6677,2013,2013,0,1742.908589,1,1,wean,1,river,river,dv,4837_4831.2012,2013_6687_6677,0
6692_7281,2014,2014,1,1182.646699,1,1,no_wean,1,picnic,picnic,uv,5540_5546.2013,2014_6692_7281,1
6697_7124,2014,2014,1,1219.275015,1,1,wean,1,picnic,picnic,uv,6750_6798.2013,2014_6697_7124,1
6705_6718,2010,2010,1,1099.676987,1,1,wean,1,river,river,dv,4830_4029.2009,2010_6705_6718,1
670_767,1988,1988,0,1346.548634,0,0,no_wean,1,picnic,picnic,uv,381_382b.1987,1988_670_767,0
6715_6472,2010,2010,1,1025.380082,0,1,wean,1,mm,mm,uv,5271_4233.2009,2010_6715_6472,1
672_673,1982,1982,1,928.4415209,0,0,no_wean,1,picnic,picnic,uv,1194_1195.1981,1982_672_673,1
6741_6733,2010,2010,0,1209.211433,1,1,wean,1,river,river,dv,4891_4836.2009,2010_6741_6733,0
6742_6736,2010,2010,0,1103.032334,1,1,wean,1,river,river,dv,4891_4836.2009,2010_6742_6736,0
6750_6798,2010,2010,0,1306.05728,1,1,wean,1,picnic,picnic,uv,4508_4512.2009,2010_6750_6798,0
6755_6997,2010,2010,0,1808.798752,0,1,no_wean,1,river,river,dv,4575_5174.2009,2010_6755_6997,0
6761_6760,2010,2010,0,1317.641965,1,1,wean,1,river,river,dv,4837_4831.2009,2010_6761_6760,0
676_678,1990,1990,1,966.0961607,0,1,wean,1,picnic,picnic,uv,733_729.1989,1990_676_678,1
676_679,1967,1967,1,1539.911314,0,1,no_wean,1,picnic,picnic,uv,89_90a.1966,1967_676_679,1
6771_6981,2010,2010,1,1757.733583,1,1,no_wean,1,gothictown,gothictown,dv,4395_4393.2009,2010_6771_6981,1
6774_6766,2010,2010,0,985.9262983,0,1,wean,1,mm,mm,uv,5271_4233.2009,2010_6774_6766,0
6779_6729,2010,2010,0,938.7326526,0,0,no_wean,1,picnic,picnic,uv,5236_5230.2009,2010_6779_6729,0
677_679a,1981,1981,0,1340.328303,0,0,no_wean,1,mm,mm,uv,NA,1981_677_679a,0
